76952  15 42 44.64 +26 17 43.9  3.81  A          
21393  04 35 33.07 -30 33 44.3  3.81  G          
51232  10 27 52.75 -58 44 21.9  3.81  F          
56211  11 31 24.29 +69 19 52.0  3.82  M GIAUSAR  
86414  17 39 27.89 +46 00 22.8  3.82  B          
9487   02 02 02.80 +02 45 49.5  3.82  A          
45688  09 18 50.67 +36 48 10.4  3.82  A          
80883  16 30 54.84 +01 59 02.8  3.82  A          
51069  10 26 05.51 -16 50 09.9  3.83  K          
72370  14 47 51.73 -79 02 41.0  3.83  K          
68245  13 58 16.28 -42 06 02.5  3.83  B          
51986  10 37 18.26 -48 13 32.2  3.84  A          
20885  04 28 34.43 +15 57 44.0  3.84  G          
88794  18 07 32.55 +28 45 44.9  3.84  B          
17440  03 44 11.55 -64 48 25.5  3.84  K          
89341  18 13 45.81 -21 03 31.8  3.84  B          
17448  03 44 19.13 +32 17 17.8  3.84  B          
43783  08 55 02.86 -60 38 41.0  3.84  B          
97433  19 48 10.21 +70 16 04.2  3.84  G          
51624  10 32 48.68 +09 18 23.7  3.84  B          
61199  12 32 28.11 -72 07 58.7  3.84  B          
27321  05 47 17.08 -51 04 00.2  3.85  A          
78072  15 56 26.99 +15 39 53.0  3.85  F          
90139  18 23 41.77 +21 46 13.2  3.85  K          
19747  04 14 00.08 -42 17 37.9  3.85  K          
91117  18 35 12.44 -08 14 35.9  3.85  K          
50191  10 14 44.27 -42 07 19.4  3.85  A          
61622  12 37 42.33 -48 32 28.6  3.85  A          
61281  12 33 29.04 +69 47 17.6  3.85  B          
30277  06 22 06.85 -33 26 10.6  3.85  G          
81065  16 33 27.46 -78 53 49.1  3.86  K          
110395 22 21 39.30 -01 23 14.5  3.86  A SADACHBIA
4436   00 56 45.10 +38 29 57.3  3.86  A          
25859  05 31 12.74 -35 28 13.6  3.86  K          
87808  17 56 15.18 +37 15 01.9  3.86  K          
79664  16 15 26.27 -63 41 08.3  3.86  G          
21594  04 38 10.87 -14 18 12.9  3.86  K          
43023  08 46 01.65 -46 02 29.5  3.87  A          
78104  15 56 53.09 -29 12 50.4  3.87  B          
97804  19 52 28.36 +01 00 20.4  3.87  F          
68282  13 58 40.77 -44 48 12.7  3.87  B          
17573  03 45 49.59 +24 22 04.3  3.87  B          
71957  14 43 03.56 -05 39 26.7  3.87  F          
765    00 09 24.54 -45 44 49.2  3.88  K          
114421 23 10 21.43 -45 14 47.9  3.88  K          
74376  15 11 56.16 -48 44 15.7  3.88  B          
8832   01 53 31.77 +19 17 38.7  3.88  A          
48455  09 52 45.96 +26 00 25.5  3.88  K RASALAS  
60129  12 19 54.39 -00 40 00.3  3.89  A ZANIAH   
33152  06 54 07.95 -24 11 03.2  3.89  K          
98110  19 56 18.40 +35 05 00.6  3.89  K          
13701  02 56 25.60 -08 53 51.4  3.89  K AZHA     
45336  09 14 21.79 +02 18 54.1  3.89  B          
65936  13 31 02.67 -39 24 26.2  3.90  G          
47431  09 39 51.33 -01 08 33.6  3.90  K          
55425  11 21 00.44 -54 29 27.7  3.90  B          
18907  04 03 09.38 +05 59 21.5  3.91  A          
73807  15 05 07.11 -47 03 04.3  3.91  B          
41307  08 25 39.67 -03 54 22.9  3.91  A          
76333  15 35 31.54 -14 47 22.4  3.91  K          
79992  16 19 44.45 +46 18 47.8  3.91  B          
60823  12 28 02.41 -50 13 50.2  3.91  B          
95168  19 21 40.38 -17 50 50.1  3.92  F          
83207  17 00 17.41 +30 55 34.8  3.92  A          
104987 21 15 49.40 +05 14 53.1  3.92  G KITALPHA 
21444  04 36 19.14 -03 21 08.8  3.93  B          
88192  18 00 38.72 +02 55 53.7  3.93  B          
54463  11 08 35.40 -58 58 30.2  3.93  G          
78933  16 06 48.43 -20 40 08.9  3.93  B          
37504  07 41 49.20 -72 36 22.1  3.93  K          
2072   00 26 12.12 -43 40 47.7  3.93  A          
7083   01 31 14.98 -49 04 23.1  3.93  K          
13531  02 54 15.46 +52 45 45.0  3.93  G          
103413 20 57 10.41 +41 10 01.9  3.94  A          
