USA, NE, Chadron                   42 50N  103 5W -6
USA, NE, Columbus                  41 28N  97 20W -6
USA, NE, Fremont                   41 26N  96 29W -6
USA, NE, Grand Island              40 59N  98 19W -6
USA, NE, Hastings                  40 36N  98 26W -6
USA, NE, Kearney                   40 44N  99 1W -6
USA, NE, Lincoln Co                40 51N  96 45W -6
USA, NE, McCook                    40 12N  100 38W -6
USA, NE, Norfolk                   41 59N  97 26W -6
USA, NE, North Platte              41 8N  100 41W -6
USA, NE, Omaha                     41 18N  95 54W -6
USA, NE, Scottsbluff               41 52N  103 36W -6
USA, NE, Sidney                    41 13N  103 6W -6
USA, NV, Carson City               39 10N  119 46W -8
USA, NV, Elko                      40 50N  115 47W -8
USA, NV, Ely                       39 17N  114 51W -8
USA, NV, Las Vegas                 36 5N  115 10W -8
USA, NV, Lovelock                  40 4N  118 33W -8
USA, NV, Reno                      39 30N  119 47W -8
USA, NV, Reno Co                   39 30N  119 47W -8
USA, NV, Tonopah                   38 4N  117 5W -8
USA, NV, Winnemucca                40 54N  117 48W -8
USA, NH, Berlin                    44 3N  71 1W -5
USA, NH, Claremont                 43 2N  72 2W -5
USA, NH, Concord                   43 12N  71 30W -5
USA, NH, Keene                     42 55N  72 17W -5
USA, NH, Laconia                   43 3N  71 3W -5
USA, NH, Manchester, Grenier AFB   42 56N  71 26W -5
USA, NH, Portsmouth, Pease AFB     43 4N  70 49W -5
USA, NJ, Atlantic City CO          39 23N  74 26W -5
USA, NJ, Long Branch               40 19N  74 1W -5
USA, NJ, Newark                    40 42N  74 10W -5
USA, NJ, New Brunswick             40 29N  74 26W -5
USA, NJ, Paterson                  40 54N  74 9W -5
USA, NJ, Phillipsburg              40 41N  75 11W -5
USA, NJ, Trenton Co                40 13N  74 46W -5
USA, NJ, Vineland                  39 29N  75 0W -5
USA, NM, Alamagordo, Holloman AFB  32 51N  106 6W -7
USA, NM, Albuquerque               35 3N  106 37W -7
USA, NM, Artesia                   32 46N  104 23W -7
USA, NM, Carlsbad                  32 20N  104 16W -7
USA, NM, Clovis                    34 23N  103 19W -7
USA, NM, Farmington                36 44N  108 14W -7
USA, NM, Gallup                    35 31N  108 47W -7
USA, NM, Grants                    35 10N  107 54W -7
USA, NM, Hobbs                     32 45N  103 13W -7
USA, NM, Las Cruces                32 18N  106 55W -7
USA, NM, Los Alamos                35 52N  106 19W -7
USA, NM, Portales                  34 12N  103 20W -7
USA, NM, Raton                     36 45N  104 30W -7
USA, NM, Roswell, Walker AFB       33 18N  104 32W -7
USA, NM, Santa Fe CO               35 37N  106 5W -7
USA, NM, Silver City               32 38N  108 10W -7
USA, NM, Socorro                   34 3N  106 53W -7
USA, NM, Tucumcari                 35 11N  103 36W -7
USA, NY, Albany                    42 45N  73 48W -5
USA, NY, Albany Co                 42 39N  73 45W -5
USA, NY, Auburn                    42 54N  76 32W -5
USA, NY, Batavia                   43 0N  78 11W -5
USA, NY, Binghamton                42 13N  75 59W -5
USA, NY, Buffalo                   42 56N  78 44W -5
USA, NY, Cortland                  42 36N  76 11W -5
USA, NY, Dunkirk                   42 29N  79 16W -5
USA, NY, Elmira                    42 10N  76 54W -5
USA, NY, Geneva                    42 45N  76 54W -5
USA, NY, Glens Falls               43 20N  73 37W -5
USA, NY, Gloversville              43 2N  74 21W -5
USA, NY, Hornell                   42 21N  77 42W -5
USA, NY, Ithaca                    42 27N  76 29W -5
USA, NY, Jamestown                 42 7N  79 14W -5
USA, NY, Kingston                  41 56N  74 0W -5
USA, NY, Lockport                  43 9N  79 15W -5
USA, NY, Massena                   44 56N  74 51W -5
USA, NY, Newburgh, Stewart AFB     41 30N  74 6W -5
USA, NY, NYC-Central Park          40 47N  73 58W -5
USA, NY, NYC-Kennedy               40 39N  73 47W -5
USA, NY, NYC-La Guardia            40 46N  73 54W -5
USA, NY, Niagara Falls             43 6N  79 57W -5
USA, NY, Olean                     42 14N  78 22W -5
USA, NY, Oneonta                   42 31N  75 4W -5
USA, NY, Oswego Co                 43 28N  76 33W -5
USA, NY, Plattsburg AFB            44 39N  73 28W -5
USA, NY, Poughkeepsie              41 38N  73 55W -5
USA, NY, Rochester                 43 7N  77 40W -5
USA, NY, Rome, Griffiss AFB        43 14N  75 25W -5
USA, NY, Schenectady               42 51N  73 57W -5
USA, NY, Suffolk County AFB        40 51N  72 38W -5
USA, NY, Syracuse                  43 7N  76 7W -5
USA, NY, Utica                     43 9N  75 23W -5
USA, NY, Watertown                 43 59N  76 1W -5
USA, NC, Asheville                 35 26N  82 32W -5
USA, NC, Charlotte                 35 13N  80 56W -5
USA, NC, Durham                    35 52N  78 47W -5
USA, NC, Elizabeth City            36 16N  76 11W -5
USA, NC, Fayetteville, Pope AFB    35 10N  79 1W -5
USA, NC, Goldsboro,Seymour-Johnson 35 20N  77 58W -5
USA, NC, Greensboro                36 5N  79 57W -5
USA, NC, Greenville                35 37N  77 25W -5
USA, NC, Henderson                 36 22N  78 25W -5
USA, NC, Hickory                   35 45N  81 23W -5
USA, NC, Jacksonville              34 50N  77 37W -5
USA, NC, Lumberton                 34 37N  79 4W -5
USA, NC, New Bern                  35 5N  77 3W -5
USA, NC, Raleigh/Durham            35 52N  78 47W -5
USA, NC, Rocky Mount               35 58N  77 48W -5
USA, NC, Wilmington                34 16N  77 55W -5
USA, NC, Winston-Salem             36 8N  80 13W -5
USA, ND, Bismarck                  46 46N  100 45W -6
USA, ND, Devils Lake               48 7N  98 54W -6
USA, ND, Dickinson                 46 48N  102 48W -6
USA, ND, Fargo                     46 54N  96 48W -6
USA, ND, Grand Forks               47 57N  97 24W -6
USA, ND, Jamestown                 46 55N  98 41W -6
USA, ND, Minot                     48 25N  101 21W -6
USA, ND, Williston                 48 9N  103 35W -6
USA, OH, Akron-Canton              40 55N  81 26W -5
USA, OH, Ashtabula                 41 51N  80 48W -5
USA, OH, Athens                    39 20N  82 6W -5
USA, OH, Bowling Green             41 23N  83 38W -5
USA, OH, Cambridge                 40 4N  81 35W -5
USA, OH, Chillicothe               39 21N  83 0W -5
USA, OH, Cincinnati Co             39 9N  84 31W -5
USA, OH, Cleveland                 41 24N  81 51W -5
USA, OH, Columbus                  40 0N  82 53W -5
USA, OH, Dayton                    39 54N  84 13W -5
USA, OH, Defiance                  41 17N  84 23W -5
USA, OH, Findlay                   41 1N  83 40W -5
USA, OH, Fremont                   41 20N  83 7W -5
USA, OH, Hamilton                  39 24N  84 35W -5
USA, OH, Lancaster                 39 44N  82 38W -5
USA, OH, Lima                      40 42N  84 2W -5
USA, OH, Mansfield                 40 49N  82 31W -5
USA, OH, Marion                    40 36N  83 10W -5
USA, OH, Middletown                39 31N  84 25W -5
USA, OH, Newark                    40 1N  82 28W -5
USA, OH, Norwalk                   41 16N  82 37W -5
USA, OH, Portsmouth                38 45N  82 55W -5
USA, OH, Sandusky Co               41 27N  82 43W -5
USA, OH, Springfield               39 50N  83 50W -5
USA, OH, Steubenville              40 23N  80 38W -5
USA, OH, Toledo                    41 36N  83 48W -5
USA, OH, Warren                    41 20N  80 51W -5
USA, OH, Wooster                   40 47N  81 55W -5
USA, OH, Youngstown                41 16N  80 40W -5
USA, OH, Zanesville                39 57N  81 54W -5
USA, OK, Ada                       34 47N  96 41W -6
USA, OK, Altus AFB                 34 39N  99 16W -6
USA, OK, Ardmore                   34 18N  97 1W -6
USA, OK, Bartlesville              36 45N  96 0W -6
USA, OK, Chickasha                 35 3N  97 55W -6
USA, OK, Enid, Vance AFB           36 21N  97 55W -6
USA, OK, Lawton                    34 34N  98 25W -6
USA, OK, McAlester                 34 50N  95 55W -6
USA, OK, Muskogee                  35 40N  95 22W -6
USA, OK, Norman                    35 15N  97 29W -6
USA, OK, Oklahoma City             35 24N  97 36W -6
USA, OK, Ponca City                36 44N  97 6W -6
USA, OK, Seminole                  35 14N  96 40W -6
USA, OK, Stillwater                36 10N  97 5W -6
USA, OK, Tulsa                     36 12N  95 54W -6
USA, OK, Woodward                  36 36N  99 31W -6
USA, OR, Albany                    44 38N  123 7W -8
USA, OR, Astoria                   46 9N  123 53W -8
USA, OR, Baker                     44 50N  117 49W -8
USA, OR, Bend                      44 4N  121 19W -8
USA, OR, Corvallis                 44 30N  123 17W -8
USA, OR, Eugene                    44 7N  123 13W -8
USA, OR, Grants Pass               42 26N  123 19W -8
